stopId,countryIso,countryUrl,stopName,stopTypeGroup,stopLat,stopLon,stopDesc,datetime,tags
60b64f3d-1bf9-44c5-aa93-499a36314542,VNM,vietnam,Stop 26 1 S1,bus,21.03138472999851,105.76809909631172,,2025-10-01T05:07:17+07:00,{'name': 'Đối Diện Nhà CT2B KĐT Mỹ Đình - Lê Đức Thọ'}
8330864902343996854,VNM,vietnam,random,bus,21.033746355445032,105.76965479795868,,2025-10-01T05:07:47+07:00,"{'name': 'Trường Nhật Bản Hà Nội, Đường Lê Đức Thọ, Phường Từ Liêm, Thành phố Hà Nội, 10085, Việt Nam'}"
8863005001511808823,VNM,vietnam,random,bus,21.036062500739142,105.77114726519622,,2025-10-01T05:08:17+07:00,"{'name': 'Ngõ 5 Lê Đức Thọ, Phường Từ Liêm, Thành phố Hà Nội, 10085, Việt Nam'}"
08691031-6e36-4e3d-b82e-98b4bd51a2ae,VNM,vietnam,Stop 26 1 S2,bus,21.036071254017784,105.77120135776062,,2025-10-01T05:08:18+07:00,{'name': 'Đối Diện Trung Ương Hội KHH Gia Đình Việt Nam - Lê Đức Thọ'}
8305271103151080864,VNM,vietnam,random,bus,21.03782756911844,105.77363878219613,,2025-10-01T05:08:48+07:00,"{'name': 'Đường Hồ Tùng Mậu, Phường Từ Liêm, Thành phố Hà Nội, 10085, Việt Nam'}"
33397828-cc90-4820-8572-dcd6f673f22b,VNM,vietnam,Stop 26 1 S3,bus,21.037934480218265,105.77361313162989,,2025-10-01T05:10:43+07:00,{'name': 'Ga Lê Đức Thọ - Hồ Tùng Mậu'}
7841257591671827266,VNM,vietnam,random,bus,21.03732591979389,105.77592400141674,,2025-10-01T05:11:13+07:00,"{'name': 'Đường Hồ Tùng Mậu, Phường Phú Diễn, Thành phố Hà Nội, 10085, Việt Nam'}"
6700096403996612581,VNM,vietnam,random,bus,21.03654836700743,105.77831512379828,,2025-10-01T05:11:43+07:00,"{'name': '15, Đường Hồ Tùng Mậu, Phường Từ Liêm, Thành phố Hà Nội, 10085, Việt Nam'}"
0fcb0cef-1c19-4f72-b512-a6adaeb82d82,VNM,vietnam,Stop 26 1 S4,bus,21.036677497533613,105.77823835333072,,2025-10-01T05:12:01+07:00,{'name': 'Số 9 Hồ Tùng Mậu'}
8789887535249314818,VNM,vietnam,random,bus,21.036631029592687,105.78209178219495,,2025-10-01T05:12:31+07:00,"{'name': 'The Loop, 239, Đường Xuân Thủy, Phường Cầu Giấy, Thành phố Hà Nội, 10141, Việt Nam'}"
2b618f92-b61f-49b9-b0ea-03d4de19139c,VNM,vietnam,Stop 26 1 S5,bus,21.0366908079234,105.78210470941976,,2025-10-01T05:12:45+07:00,{'name': 'Số 241 Xuân Thủy (Đối Diện ĐH Quốc Gia)'}
9043708507033943108,VNM,vietnam,random,bus,21.03641654545355,105.78598789358814,,2025-10-01T05:13:15+07:00,"{'name': 'Ngõ 167 Đường Xuân Thủy, Phường Cầu Giấy, Thành phố Hà Nội, 10141, Việt Nam'}"
83223577-0fdf-4a2f-ae6b-b931f9a65a32,VNM,vietnam,Stop 26 1 S6,bus,21.03638270138422,105.78596175834664,,2025-10-01T05:13:32+07:00,{'name': 'Siêu Thị Điện Máy Pico - 173 Xuân Thủy - Làng Vòng - Dịch Vọng Hậu'}
4313401572222047271,VNM,vietnam,random,bus,21.036503174086366,105.7887845486762,,2025-10-01T05:14:02+07:00,"{'name': 'Học viện Báo chí và Tuyên truyền, 36, Đường Xuân Thủy, Phường Cầu Giấy, Thành phố Hà Nội, 10141, Việt Nam'}"
